policy,steps,total_demand,total_fulfilled,fill_rate,total_lost_sales,avg_lost_sales_per_step,avg_end_on_hand,sum_reward_env,sum_reward_raw,sum_reward_clipped,avg_order_qty,sum_order_qty
Baseline,899,61215.84354870141,61201.76246548023,0.9997699764896651,14.081083221182748,0.015663051413996383,49451.58852201949,-8357580.8565975735,-8357580.8565975735,-3823668.401636813,27.89321468298109,25076.0
RL,899,61215.84354870141,60363.918414348256,0.9860832574548224,851.9251343531563,0.9476364119612417,662.8976260944751,398758.6829105065,398758.6829105065,409606.7667102773,11.281423804226918,10142.0
