step_idx,t_step,month,demand,action_order_qty,reward_env,reward_raw,reward_clipped,fulfilled,lost_sales,end_on_hand
0,12,4,38.24919514095237,20,-687.1838740732687,-687.1838740732687,-687.1838740732687,24.16811191976962,14.081083221182748,120.0
1,12,4,1.169050732643235,20,-101.075682527039,-101.075682527039,-101.075682527039,1.169050732643235,0.0,238.83094926735677
2,12,4,229.2335026765551,20,2206.4155374473908,2206.4155374473908,2206.4155374473908,229.2335026765551,0.0,129.59744659080167
3,12,4,3.654540649958618,20,-77.64317468858243,-77.64317468858243,-77.64317468858243,3.654540649958618,0.0,245.94290594084305
4,12,4,45.33382672804846,20,324.2164514379256,324.2164514379256,324.2164514379256,45.33382672804846,0.0,320.6090792127946
5,13,4,34.66438198166905,20,200.45488037046545,200.45488037046545,200.45488037046545,34.66438198166905,0.0,405.94469723112553
6,13,4,182.0049083239535,20,1691.2611254581004,1691.2611254581004,1691.2611254581004,182.0049083239535,0.0,343.93978890717204
7,13,4,0.8219062921022171,20,-149.40451360199182,-149.40451360199182,-149.40451360199182,0.8219062921022171,0.0,463.11788261506985
8,13,4,2.859485040137628,20,-152.45682911361015,-152.45682911361015,-152.45682911361015,2.859485040137628,0.0,580.2583975749321
9,13,4,48.21707908771614,20,286.7625271797182,286.7625271797182,286.7625271797182,48.21707908771614,0.0,652.041318487216
10,14,4,49.08413807967339,20,281.2499447152253,281.2499447152253,281.2499447152253,49.08413807967339,0.0,722.9571804075426
11,14,4,4.336060426558026,20,-189.36361973061668,-189.36361973061668,-189.36361973061668,4.336060426558026,0.0,838.6211199809846
12,14,4,226.0665423181306,5,2112.154507648735,2112.154507648735,2112.154507648735,226.0665423181306,0.0,642.5545776628541
13,14,4,1.211951278187613,20,-205.14901249505718,-205.14901249505718,-205.14901249505718,1.211951278187613,0.0,761.3426263846665
14,14,4,28.44005337300977,5,111.82001912776636,111.82001912776636,111.82001912776636,28.44005337300977,0.0,762.9025730116567
15,15,4,188.2632187441537,5,1741.7043165880366,1741.7043165880366,1741.7043165880366,188.2632187441537,0.0,604.639354267503
16,15,4,4.279363733725188,20,-166.27836076950368,-166.27836076950368,-166.27836076950368,4.279363733725188,0.0,720.3599905337778
17,15,4,44.42962272675479,5,283.1101537061433,283.1101537061433,283.1101537061433,44.42962272675479,0.0,705.930367807023
18,15,4,0.9477326543541211,15,-199.5192004869926,-199.5192004869926,-199.5192004869926,0.9477326543541211,0.0,794.9826351526689
19,15,4,34.15746809949641,5,163.40964758432963,163.40964758432963,163.40964758432963,34.15746809949641,0.0,790.8251670531724
20,16,5,233.8091165153252,0,2226.6879550456824,2226.6879550456824,2226.6879550456824,233.8091165153252,0.0,557.0160505378473
21,16,5,1.186614990624106,20,-188.29973720320356,-188.29973720320356,-188.29973720320356,1.186614990624106,0.0,675.8294355472232
22,16,5,46.25786704338893,15,268.6643567331224,268.6643567331224,268.6643567331224,46.25786704338893,0.0,719.5715685038342
23,16,5,2.542072823271707,20,-206.98517090339544,-206.98517090339544,-206.98517090339544,2.542072823271707,0.0,837.0294956805625
24,16,5,32.64444088875988,5,139.56739792923827,139.56739792923827,139.56739792923827,32.64444088875988,0.0,834.3850547918026
25,17,5,2.891126090374517,5,-163.38752483654048,-163.38752483654048,-163.38752483654048,2.891126090374517,0.0,861.4939287014281
26,17,5,1.056677722032858,5,-187.52067297555047,-187.52067297555047,-187.52067297555047,1.056677722032858,0.0,890.4372509793952
